Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:14,2019-07-19 13:05:14,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:14,2019-07-19 13:05:14,0.394s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_80 JB2""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:14,2019-07-19 13:05:14,0.012s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:14,2019-07-19 13:05:14,0.449s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""30"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:14,2019-07-19 13:05:15,0.188s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:15,2019-07-19 13:05:15,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:15,2019-07-19 13:05:15,0.339s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_80 JB2""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:15,2019-07-19 13:05:15,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:15,2019-07-19 13:05:15,0.472s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""80"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:15,2019-07-19 13:05:16,0.274s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:16,2019-07-19 13:05:16,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:16,2019-07-19 13:05:16,0.323s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_1100 JB""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:16,2019-07-19 13:05:16,0.052s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:16,2019-07-19 13:05:16,0.299s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""1050"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:16,2019-07-19 13:05:17,0.218s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:17,2019-07-19 13:05:17,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:17,2019-07-19 13:05:17,0.322s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_1100 JB""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:17,2019-07-19 13:05:17,0.001s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:17,2019-07-19 13:05:17,0.400s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""1100"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:17,2019-07-19 13:05:18,0.190s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:18,2019-07-19 13:05:18,0.004s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:18,2019-07-19 13:05:18,0.381s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_90 JB""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:18,2019-07-19 13:05:18,0.018s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:18,2019-07-19 13:05:18,0.372s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""81"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:18,2019-07-19 13:05:19,0.241s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:19,2019-07-19 13:05:19,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:19,2019-07-19 13:05:19,0.316s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_90 JB""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:19,2019-07-19 13:05:19,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:19,2019-07-19 13:05:19,0.512s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""90"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:19,2019-07-19 13:05:20,0.275s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:20,2019-07-19 13:05:20,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:20,2019-07-19 13:05:20,0.459s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_90 JB2""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:20,2019-07-19 13:05:20,0.047s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:20,2019-07-19 13:05:21,0.409s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""81"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:21,2019-07-19 13:05:21,0.255s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:21,2019-07-19 13:05:21,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:21,2019-07-19 13:05:21,0.323s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_90 JB2""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:21,2019-07-19 13:05:21,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:21,2019-07-19 13:05:22,0.436s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""90"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:22,2019-07-19 13:05:22,0.277s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:22,2019-07-19 13:05:22,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:22,2019-07-19 13:05:22,0.380s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/Dashboard""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:22,2019-07-19 13:05:22,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:22,2019-07-19 13:05:23,0.357s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/a_DashboardLabel""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:23,2019-07-19 13:05:23,0.022s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:23,2019-07-19 13:05:24,1.589s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/button_Information""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:24,2019-07-19 13:05:24,0.087s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:24,2019-07-19 13:05:25,0.759s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/button_Power""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:25,2019-07-19 13:05:25,0.017s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:25,2019-07-19 13:05:25,0.256s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/button_Metric""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:25,2019-07-19 13:05:25,0.070s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:25,2019-07-19 13:05:26,0.918s,PASSED
"for ([i = 0, i < 5, (i++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:26,2019-07-19 13:05:26,0.006s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:26,2019-07-19 13:05:28,1.183s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:28,2019-07-19 13:05:28,0.417s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:28,2019-07-19 13:05:28,0.340s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:28,2019-07-19 13:05:29,0.311s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:29,2019-07-19 13:05:29,0.285s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/i_Threshold 2_glyphicon glyphicon-plus icon-plus""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:29,2019-07-19 13:05:29,0.022s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:29,2019-07-19 13:05:29,0.269s,PASSED
delay(3),Chrome 75.0.3770.142,,,2019-07-19 13:05:29,2019-07-19 13:05:32,2.701s,PASSED
"clickOffset(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/canvas_""), 62, 670)",Chrome 75.0.3770.142,,,2019-07-19 13:05:32,2019-07-19 13:05:32,0.246s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/Sensor""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:32,2019-07-19 13:05:32,0.077s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:32,2019-07-19 13:05:33,1.014s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/button_Sensor_Refresh""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:33,2019-07-19 13:05:33,0.071s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:33,2019-07-19 13:05:34,1.139s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/button_ tmp""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:34,2019-07-19 13:05:34,0.015s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:34,2019-07-19 13:05:35,0.955s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/Current Event Log""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:35,2019-07-19 13:05:35,0.025s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:35,2019-07-19 13:05:36,0.383s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/button_Current Event Log_Refresh""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:36,2019-07-19 13:05:36,0.064s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:36,2019-07-19 13:05:37,1.202s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/select_Timestamp Period Filter""), ""today"", true)",Chrome 75.0.3770.142,,,2019-07-19 13:05:37,2019-07-19 13:05:39,1.457s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/select_Timestamp Period Filter""), ""yesterday"", true)",Chrome 75.0.3770.142,,,2019-07-19 13:05:39,2019-07-19 13:05:39,0.565s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/select_Timestamp Period Filter""), ""since-yesterday"", true)",Chrome 75.0.3770.142,,,2019-07-19 13:05:39,2019-07-19 13:05:40,0.424s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/select_Timestamp Period Filter""), ""current-week"", true)",Chrome 75.0.3770.142,,,2019-07-19 13:05:40,2019-07-19 13:05:40,0.476s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/select_Timestamp Period Filter""), ""other"", true)",Chrome 75.0.3770.142,,,2019-07-19 13:05:40,2019-07-19 13:05:40,0.279s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/input_Start Period_enable-start-period""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:40,2019-07-19 13:05:40,0.019s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:40,2019-07-19 13:05:41,0.822s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/input_End Period_enable-end-period""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:41,2019-07-19 13:05:41,0.029s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:41,2019-07-19 13:05:41,0.240s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/input_Start Period_form-control start-period""), ""2019/05/15 00:00"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:41,2019-07-19 13:05:42,0.676s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/input_End Period_form-control end-period""), ""2019/07/15 11:37"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:42,2019-07-19 13:05:43,0.750s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/button_Apply Period Filter""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:43,2019-07-19 13:05:43,0.028s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:43,2019-07-19 13:05:43,0.416s,PASSED
"waitForJQueryLoad(10, OPTIONAL)",Chrome 75.0.3770.142,,,2019-07-19 13:05:43,2019-07-19 13:05:44,0.290s,PASSED
delay(1),Chrome 75.0.3770.142,,,2019-07-19 13:05:44,2019-07-19 13:05:44,0.901s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/select_Timestamp Period Filter""), """", true)",Chrome 75.0.3770.142,,,2019-07-19 13:05:44,2019-07-19 13:05:45,0.530s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/select_Severity Filter""), ""Info"", true)",Chrome 75.0.3770.142,,,2019-07-19 13:05:45,2019-07-19 13:05:46,0.529s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/select_Severity Filter""), ""Warning"", true)",Chrome 75.0.3770.142,,,2019-07-19 13:05:46,2019-07-19 13:05:46,0.320s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/select_Severity Filter""), ""Critical"", true)",Chrome 75.0.3770.142,,,2019-07-19 13:05:46,2019-07-19 13:05:46,0.282s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/select_Severity Filter""), ""All"", true)",Chrome 75.0.3770.142,,,2019-07-19 13:05:46,2019-07-19 13:05:47,0.785s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/input_Search""), ""10"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:47,2019-07-19 13:05:47,0.341s,PASSED
"sendKeys(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/input_Search""), Keys.chord(ENTER))",Chrome 75.0.3770.142,,,2019-07-19 13:05:47,2019-07-19 13:05:47,0.081s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/closeVenusRackWind""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:47,2019-07-19 13:11:34,5m - 47.059s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:11:34,2019-07-19 13:11:35,0.339s,PASSED
"clickOffset(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/canvas_""), 195, 10)",Chrome 75.0.3770.142,,,2019-07-19 13:11:35,2019-07-19 13:11:35,0.336s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/Sensor""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:11:35,2019-07-19 13:11:35,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:11:35,2019-07-19 13:12:11,35.656s,FAILED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/DashboardLabel/RackDetail/button_Sensor_Refresh""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:12:11,2019-07-19 13:12:11,0.004s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:12:11,2019-07-19 13:13:10,59.220s,FAILED
