Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORConfiguration/Page_ ARMOR/button_Login""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:28,2019-07-19 13:04:28,0.005s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:28,2019-07-19 13:04:32,3.799s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/Dashboard""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:32,2019-07-19 13:04:32,0.091s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:32,2019-07-19 13:04:33,0.939s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/Floor Plan""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:33,2019-07-19 13:04:33,0.112s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:33,2019-07-19 13:04:37,3.244s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_Generate Coordinate""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:37,2019-07-19 13:04:37,0.049s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:37,2019-07-19 13:04:37,0.779s,PASSED
"waitForJQueryLoad(10, OPTIONAL)",Chrome 75.0.3770.142,,,2019-07-19 13:04:37,2019-07-19 13:04:38,0.202s,PASSED
delay(2),Chrome 75.0.3770.142,,,2019-07-19 13:04:38,2019-07-19 13:04:39,1.800s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input__col""), """" + 8 + Math.random() + 0.5)",Chrome 75.0.3770.142,,,2019-07-19 13:04:39,2019-07-19 13:04:40,0.624s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input__row""), """" + 8 + Math.random() + 0.5)",Chrome 75.0.3770.142,,,2019-07-19 13:04:40,2019-07-19 13:04:40,0.278s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/textarea_Description""), """" + Math.random() * 10 + 1)",Chrome 75.0.3770.142,,,2019-07-19 13:04:40,2019-07-19 13:04:41,0.273s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_CreateCoordinate""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:41,2019-07-19 13:04:41,0.025s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:41,2019-07-19 13:04:41,0.609s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_Upload Floor Layout Image""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:41,2019-07-19 13:04:41,0.031s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:41,2019-07-19 13:04:42,0.988s,PASSED
"waitForJQueryLoad(10, OPTIONAL)",Chrome 75.0.3770.142,,,2019-07-19 13:04:42,2019-07-19 13:04:43,0.360s,PASSED
delay(1),Chrome 75.0.3770.142,,,2019-07-19 13:04:43,2019-07-19 13:04:44,0.902s,PASSED
"sendKeys(findTestObject(""Object Repository/ARMORDashboard/input_Browse _uploadfp""), ""C:\myWork\logo\test.png"")",Chrome 75.0.3770.142,,,2019-07-19 13:04:44,2019-07-19 13:04:44,0.603s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/CheckUpload""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:44,2019-07-19 13:04:44,0.070s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:44,2019-07-19 13:04:45,0.689s,PASSED
"waitForJQueryLoad(10, OPTIONAL)",Chrome 75.0.3770.142,,,2019-07-19 13:04:45,2019-07-19 13:04:45,0.394s,PASSED
delay(2),Chrome 75.0.3770.142,,,2019-07-19 13:04:45,2019-07-19 13:04:47,1.803s,PASSED
"clickOffset(findTestObject(""Object Repository/ARMORDashboard/canvas""), 500, 500)",Chrome 75.0.3770.142,,,2019-07-19 13:04:47,2019-07-19 13:04:47,0.292s,PASSED
"waitForJQueryLoad(10, OPTIONAL)",Chrome 75.0.3770.142,,,2019-07-19 13:04:47,2019-07-19 13:04:47,0.012s,PASSED
delay(2),Chrome 75.0.3770.142,,,2019-07-19 13:04:47,2019-07-19 13:04:49,1.804s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/selectRack""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:49,2019-07-19 13:04:49,0.078s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:49,2019-07-19 13:04:50,0.325s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_Create_AddRack""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:50,2019-07-19 13:04:50,0.005s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:50,2019-07-19 13:04:50,0.524s,PASSED
"waitForJQueryLoad(10, OPTIONAL)",Chrome 75.0.3770.142,,,2019-07-19 13:04:50,2019-07-19 13:04:50,0.117s,PASSED
delay(2),Chrome 75.0.3770.142,,,2019-07-19 13:04:50,2019-07-19 13:04:52,1.803s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_Save changes""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:52,2019-07-19 13:04:52,0.150s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:52,2019-07-19 13:04:52,0.241s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSave""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:52,2019-07-19 13:04:52,0.052s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:52,2019-07-19 13:04:53,0.739s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/Dashboard""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:53,2019-07-19 13:04:53,0.004s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:53,2019-07-19 13:04:54,0.768s,PASSED
